;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
CPAR2_804500;89.5061501485946;-2.25556796994698;0.50055289052342;-4.5061531211784;6.60134592668201e-06;5.69883355819832e-05
CPAR2_801290;74.5712798757672;-3.49502957637476;1.04731403738464;-3.33713618992693;0.000846464596228691;0.00361858922733684
CPAR2_301640;79.7242955498689;-2.75465417315595;0.582748005003677;-4.72700747064517;2.27852885292965e-06;2.18920446600416e-05
CPAR2_301750;8.08602120618384;-2.83080946022244;0.845637236940602;-3.34754589386806;0.000815304868851621;0.00351133533986432
CPAR2_402890;8.96433072249861;-4.02986453154465;1.23920137804603;-3.25198519218799;0.00114601992201706;0.00464511508685823
CPAR2_801735;21.9780620608152;-2.3333190263972;0.782685043947309;-2.98117236868306;0.00287147119588747;0.00982175600059914
CPAR2_213050;1407.41491598361;-3.20802161449485;0.321823349704996;-9.96826867110647;2.09854954366894e-23;3.37166960016142e-21
CPAR2_700940;2721.59398238228;-2.51806691856254;0.305698755191259;-8.23708594098502;1.7645573502769e-16;1.34292101500021e-14
CapafMp03;238.620635662138;-2.99394329848047;0.543321140960872;-5.51044874341836;3.57920028672593e-08;5.46229405235429e-07
CapafMp14;14.2752767120165;-3.72992093093261;1.04174049054695;-3.58047034244994;0.000342976272574052;0.00170720719498134
CapafMp15;225.190255746971;-3.32423346207177;0.983498187624051;-3.38000974877493;0.00072483258783318;0.00318573836476225
CPAR2_104710;1661.95286289623;-2.11315419933986;0.213052251124662;-9.91847862758982;3.4598950939722e-23;5.26632453250927e-21
CapafMp12;365.360732179784;-4.04462682990613;1.2110103227096;-3.33987807870738;0.000838151773910623;0.00358835666935532
CPAR2_805630;98.3087517220663;-3.30220043465798;1.09778334774592;-3.00806205654183;0.00262919444075206;0.00915548503630942
CPAR2_602030;30.7890456879472;-3.0521147171281;1.01865280605532;-2.99622668193225;0.00273343154794147;0.00944454484665081
CPAR2_600590;310.026808868976;-3.0511745407595;0.433290358963082;-7.04187037085556;1.89676253231708e-12;6.77214474501357e-11
CPAR2_100580;100.897937011831;-2.15457991587517;0.496605480768256;-4.33861485487838;1.43383545672539e-05;0.000112375396770998
CapafMp03.2;23.434959120869;-3.39360076139991;1.015939178747;-3.34035819505;0.000836703977598351;0.00358481170846583
CPAR2_603010;194.906785513256;-2.61515381072626;0.538810344010925;-4.85357016581931;1.21258410927218e-06;1.25466663471025e-05
CPAR2_501380;2515.6259603161;-2.03663688184931;0.191818798788878;-10.6175040960969;2.47079127833922e-26;4.92795060479794e-24
CPAR2_107360;7.16209947102331;-4.87598680182794;1.44874306488365;-3.36566705305992;0.000763588147645725;0.00331576114563279
CapafMp13;101.352347482918;-3.18087403904244;0.645047664222476;-4.93122324979905;8.17162777748646e-07;8.81804012406375e-06
CPAR2_212350;22.78535948369;-3.08494592683482;0.774155793527012;-3.98491615334941;6.75039571596853e-05;0.000425319050339455
CapafMp09;37.9823330434776;-3.85247910423589;0.776482685977181;-4.9614488176097;6.9969308406094e-07;7.70861866325424e-06
CPAR2_200650;69.3833212995556;-2.60081682916998;0.566994340285984;-4.58702432172103;4.49608320088507e-06;4.0255952374488e-05
CPAR2_102520;6.87992262572683;-3.59938896959392;1.12940201788041;-3.18698648719349;0.00143763491276765;0.0056260354096401
CPAR2_403880;48.998960819081;-2.41971589380792;0.362890078695901;-6.66790313613293;2.59483940501677e-11;7.42997580129554e-10
CapafMp01;118.16909348867;-4.32195359291607;0.961952674459845;-4.49289628031122;7.02610094477404e-06;5.99374138111155e-05
CPAR2_405880;23.6435965980273;-3.25479316728772;0.84805973375269;-3.83792914313377;0.000124076271202125;0.00071981660244041
CPAR2_204130;23.6221516502054;-2.43867632182595;0.776407859320081;-3.14097325593994;0.00168387408168423;0.00641602614523163
CapafMp03.1;34.9277390520713;-3.40398975051128;0.904024081044038;-3.76537508445581;0.000166299248248968;0.000932953299584899
