"gene","baseMean","log2FoldChange","shrunkLFC","lfcSE","padj","effectTestPadj","svalue","maxCook","array_logFC","array_FDR_standard","array_FDR_robust","array_FDR_treat","array_mean","array_sd","array_min","array_max","direction_same","platform_difference","mean_effect","practical_selected","modern_strong","loo_medianLFC","loo_sdLFC","loo_minLFC","loo_maxLFC","loo_propFDR05","loo_medianRank","loo_worstRank","edgeR_logFC","edgeR_FDR","edgeR_rank","rank_DESeq2_effect","rank_DESeq2_FDR","rank_array_effect","rank_array_FDR","rank_product","rank_product_rank","score_effect","score_significance","score_precision","score_abundance","score_array_effect","score_array_significance","score_platform_agreement","score_loo","score_edgeR","stat_score","P_top5_weights","P_top10_weights","combined_robustness"
"CPAR2_300780",1633.77957322872,0.309010057117526,0.278393516821815,0.171155653592182,0.135803693547665,1,0.80806653608696,0.21640810728082,0.4125221060625,0.0260662463364425,0.026403839585998,0.999999995174279,0.4125221060625,0.275796971904152,0.11528336425,0.73693378675,TRUE,0.134128589240685,0.345457811442157,FALSE,FALSE,0.29750632930688,0.0694559899507771,0.180507213765048,0.406498287002213,0.1,3598,4450,0.284017107279262,0.186541089822924,3636,3314,3024.5,1822,2265.5,2725.63991998823,3011,0.427509936063591,0.47708801660038,0.744081562121998,0.831518921721099,0.662840214775042,0.580633216071098,0.72060729494538,0.1,0.428069559107676,0.552483191267363,0,0,0
"CPAR2_303610",301.895365426231,-1.13380323908613,-0.979518758544977,0.329958130362376,0.00268250263179471,1,0.191355916886832,0.145194033957568,-0.256341671625,0.0636105601407624,0.0642809382981042,0.999999995174279,-0.256341671625,0.205252107919657,-0.49064659025,0.0016540365,TRUE,0.723177086919977,-0.617930215084988,FALSE,FALSE,-1.12051027782177,0.0982984280765384,-1.30052805264216,-1.01123511606061,1,806,965,-1.16433065444552,0.0145118117868278,693,753,1272,2826,2892,1402.416954944,1399,0.870053568342837,0.780217879993083,0.162433039571453,0.323310869189563,0.476948713201259,0.464728753934457,0.11479355674875,1,0.77779729492359,0.552253741767221,0,0,0
"CPAR2_600410",511.333537617193,-0.271146377659071,-0.253811660696982,0.131440443320994,0.0828602110217216,1,0.846128786387478,0.14615760771607,-0.2748808373125,0.024563616542371,0.0249775556329645,0.999999995174279,-0.2748808373125,0.124420305369491,-0.44955615825,-0.17989494825,TRUE,0.0210691766155178,-0.264346249004741,FALSE,FALSE,-0.28281746896397,0.0379456273886081,-0.31568831096295,-0.189372750106753,0,3710,4398,-0.293720910585784,0.0791603478132924,3571,3518,2731,2669,2222,2895.34288322186,3226,0.392258510454467,0.527926681653121,0.949887679281147,0.493347157421808,0.50601740418441,0.5887798555823,0.952786521014627,0,0.558053750219568,0.552117506645716,0,0,0
"CPAR2_102720",646.118504389255,0.365545939993232,0.320156243316289,0.198331591820293,0.126345943138032,1,0.765786962344939,0.385933153856429,0.3700600781875,0.00454113408038379,0.00465739303393663,0.999999995174279,0.3700600781875,0.048908246691352,0.31976331075,0.42248183775,TRUE,0.0499038348712111,0.345108160751895,FALSE,FALSE,0.344927712805805,0.0653311365671269,0.294427838133487,0.476968960913211,0.1,3331.5,3695,0.340096056562259,0.146492797952627,3309,3065,2990,2041,1221,2375.04269207912,2564,0.470537411439433,0.483140238630469,0.578538102643857,0.57836530153793,0.622292168117015,0.774115904462137,0.895389742640252,0.1,0.46636219919199,0.552082340962565,0,0,0
"CPAR2_201010",244.669527439574,0.890019595050392,0.852799090175632,0.160459414322321,4.56321889252645e-07,1,0.375295121319518,0.0890263128979797,0.019487296,0.859056583514383,0.859663718452578,0.999999995174279,0.019487296,0.157442442000393,-0.13570047425,0.162562538,TRUE,0.833311794175632,0.436143193087816,FALSE,FALSE,0.884403563670096,0.0531192321682268,0.812548085893333,0.975624573403475,1,1199.5,1515,0.863828235814023,0.000838887665845074,1212,941,369,5176,5155.5,1622.09667343757,1650,0.837566960428547,0.936365208369358,0.815275617763954,0.265595299809919,0.0418441029438993,0.0455471209035364,0.0807257915200889,1,0.945371508870543,0.552032401178872,0,0,0
"CPAR2_205870",253.911730801422,0.622811160898111,0.537876802040094,0.242618768341442,0.0278141534188994,1,0.593305654130292,1.42486860754672,0.3550761959375,0.013208900251885,0.0134250234111469,0.999999995174279,0.3550761959375,0.152720270878495,0.16936439925,0.48665496225,TRUE,0.182800606102594,0.446476498988797,FALSE,FALSE,0.63695647846256,0.124677411642227,0.298906118941686,0.770562899858281,0.5,1939.5,3734,0.594682032849837,0.0472167375398499,2075,1883,2132.5,2130,1826.5,2005.17069168156,2099,0.674788318645239,0.631333218052914,0.360808709175739,0.274235355106273,0.60581373819663,0.661914460285132,0.627846695056471,0.5,0.630774635517302,0.551946125559522,0,0,0
"CPAR2_701340",3515.98629383069,-0.674165630156385,-0.510394688410258,0.333752599733482,0.0905760596936666,1,0.513957187822791,0.458629723578603,-1.1492420216875,0.00332641142379725,0.0037689179020528,0.999999995174279,-1.1492420216875,0.482550368774019,-1.58449816575,-0.694204071,TRUE,0.638847333277242,-0.829818355048879,FALSE,FALSE,-0.644226070923149,0.170044504345655,-1.07496202666101,-0.467250963585649,0.3,1898,2808,-0.703847667218942,0.114511899373591,1675,2005,2770.5,293,1054.5,1235.15172559473,1217,0.653706583722136,0.521009856475878,0.158977017452912,0.930188353205461,0.945935937789298,0.804665802629143,0.149231623773375,0.3,0.503249604777797,0.551884975536222,0,0,0
"CPAR2_302690",270.568134746496,-0.362421109447145,-0.339154828050279,0.138579087470238,0.025033521210636,1,0.824728828991876,0.0484424493972556,-0.195029382875,0.284834152231645,0.290941712886715,0.999999995174279,-0.195029382875,0.361521465524806,-0.6873368105,0.145715295,TRUE,0.144125445175279,-0.26709210546264,FALSE,FALSE,-0.364430100395643,0.0302794829044882,-0.405027430526998,-0.31311496064796,0.6,3222.5,3631,-0.393191508049196,0.0314042898003817,3017,2926,2060,3364,4065.5,3013.959144501,3380,0.494556765163297,0.643956424001383,0.92310350786245,0.291861067910835,0.377337530087021,0.247361599703759,0.702832808739122,0.6,0.685578780959073,0.551843164936327,0,0,0
"CPAR2_300510",954.193896799928,1.02286652371014,0.860117247992763,0.338012253320636,0.00872573214108268,1,0.25304438406641,0.119528636633385,0.28635016875,0.268026847517828,0.274898734106586,0.999999995174279,0.28635016875,0.539557420699508,-0.50686482425,0.70185411225,TRUE,0.573767079242763,0.573233708371381,FALSE,FALSE,1.01116936429899,0.165499938030678,0.635539383960663,1.3216949401149,0.9,958,1945,0.988069603379081,0.0298336114662967,958,928,1642,2578,4017.5,1721.49231110521,1766,0.839813374805599,0.716237247103579,0.156039398652151,0.70312770001728,0.522866135900759,0.256248842806888,0.179226069246436,0.9,0.692429299139294,0.551776451963554,0,0,0
"CPAR2_406770",295.383371747133,0.568237844835364,0.53074756356945,0.16127731865192,0.00204365231584034,1,0.715925594899252,0.215217367107137,-0.11740545875,0.352754722381392,0.35416711029958,0.999999995174279,-0.11740545875,0.21894986512514,-0.33126087825,0.16207364675,FALSE,0.64815302231945,0.206671052409725,FALSE,FALSE,0.556590276257245,0.047917577107837,0.506991147772425,0.663304385992239,1,2260.5,2609,0.540244498566157,0.0150623270087511,2277,1913,1206,4122,4215.5,2466.47363731836,2682,0.669604285467427,0.791630641535535,0.811301192327631,0.317781233799896,0.236993149416775,0.21958896500648,0.143121644139974,1,0.77410855436501,0.551569962895414,0,0,0
